,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,구별
0,중부서,1,1,3,4,113,76,943,495,997,830,중구
1,종로서,9,6,4,4,115,93,602,284,964,792,종로구
2,남대문서,1,1,2,2,73,52,699,368,579,494,중구
3,서대문서,3,3,2,1,159,149,1077,524,1292,1029,서대문구
4,혜화서,0,0,3,3,77,53,581,310,747,628,종로구
5,용산서,5,3,6,6,230,186,1111,534,1617,1327,용산구
6,성북서,0,0,2,2,95,77,439,233,672,610,성북구
7,동대문서,10,8,6,5,161,142,1440,713,1784,1597,동대문구
8,마포서,9,8,4,3,348,287,1483,679,1844,1557,마포구
9,영등포서,7,4,6,5,315,252,2188,953,2701,2157,영등포구
10,성동서,5,5,3,3,115,98,1016,565,1223,1103,성동구
11,동작서,1,1,1,2,226,121,1341,592,1631,1370,동작구
12,광진서,2,2,4,4,255,224,1664,874,1676,1407,광진구
13,서부서,3,3,3,2,76,71,532,322,748,667,은평구
14,강북서,9,8,5,4,159,132,780,490,1817,1625,강북구
15,금천서,4,4,7,6,117,93,999,553,1471,1310,금천구
16,중랑서,10,9,5,6,183,153,1506,889,2022,1724,중랑구
17,강남서,5,3,12,10,513,433,1941,1016,2283,1911,강남구
18,관악서,12,12,3,3,403,351,2229,1137,2614,2355,관악구
19,강서서,10,9,6,5,265,222,1689,1070,2445,2087,강서구
20,강동서,3,3,15,14,188,167,1640,781,1942,1697,강동구
21,종암서,4,4,1,0,47,44,549,347,758,630,성북구
22,구로서,6,6,5,5,197,142,1763,1008,2204,1823,구로구
23,서초서,4,4,5,3,333,253,1673,801,1750,1415,서초구
24,양천서,5,5,3,3,109,90,1517,718,1582,1270,양천구
25,송파서,6,6,13,17,287,235,2429,1006,2675,2280,송파구
26,노원서,4,3,3,3,169,148,1404,646,2163,1781,노원구
27,방배서,1,1,1,1,63,50,348,159,423,365,서초구
28,은평서,1,1,1,1,95,74,839,434,1092,956,은평구
29,도봉서,0,0,2,2,82,87,861,379,1234,1022,도봉구
30,수서서,1,2,2,1,195,194,1010,475,1394,1200,강남구
