,y,x,ID
0,0,7,철원
1,0,8,화천
2,0,9,양구
3,0,10,고성(강원)
4,1,3,양주
5,1,4,동두천
6,1,5,연천
7,1,6,포천
8,1,7,의정부
9,1,8,인제
10,1,9,춘천
11,1,10,속초
12,2,3,고양 덕양
13,2,4,고양 일산동
14,2,5,서울 도봉
15,2,6,서울 노원
16,2,7,남양주
17,2,8,홍천
18,2,9,횡성
19,2,10,양양
20,3,3,고양 일산서
21,3,4,김포
22,3,5,서울 강북
23,3,6,서울 성북
24,3,7,가평
25,3,8,구리
26,3,9,하남
27,3,10,정선
28,3,11,강릉
29,4,3,안양 만안
30,4,4,광명
31,4,5,서울 서대문
32,4,6,서울 종로
33,4,7,서울 동대문
34,4,8,서울 중랑
35,4,9,양평
36,4,10,태백
37,4,11,동해
38,5,1,인천 강화
39,5,2,파주
40,5,3,안양 동안
41,5,4,서울 은평
42,5,5,서울 마포
43,5,6,서울 중구
44,5,7,서울 성동
45,5,8,서울 강동
46,5,9,여주
47,5,10,원주
48,5,11,삼척
49,6,1,인천 서구
50,6,2,부천
51,6,3,시흥
52,6,4,서울 강서
53,6,5,서울 동작
54,6,6,서울 용산
55,6,7,서울 광진
56,6,8,서울 송파
57,6,9,이천
58,6,10,평창
59,6,11,울진
60,7,1,인천 동구
61,7,2,인천 계양
62,7,3,안산 상록
63,7,4,서울 양천
64,7,5,서울 관악
65,7,6,서울 서초
66,7,7,성남 중원
67,7,8,과천
68,7,9,광주
69,7,10,영월
70,7,11,영덕
71,8,2,인천 부평
72,8,3,안산 단원
73,8,4,서울 영등포
74,8,5,서울 금천
75,8,6,서울 강남
76,8,7,성남 분당
77,8,8,성남 수정
78,8,9,용인 수지
79,8,10,문경
80,8,11,봉화
81,8,13,울릉
82,9,1,인천 중구
83,9,2,인천 미추홀
84,9,3,화성
85,9,4,서울 구로
86,9,5,군포
87,9,6,의왕
88,9,7,수원 영통
89,9,8,용인 기흥
90,9,9,용인 처인
91,9,10,안동
92,9,11,영양
93,10,0,인천 옹진
94,10,1,인천 연수
95,10,2,인천 남동
96,10,3,오산
97,10,4,안성
98,10,5,수원 권선
99,10,6,수원 장안
100,10,7,제천
101,10,8,예천
102,10,9,영주
103,10,10,구미
104,10,11,청송
105,10,12,포항 북구
106,11,0,태안
107,11,1,아산
108,11,2,천안 동남
109,11,3,천안 서북
110,11,4,평택
111,11,5,음성
112,11,6,수원 팔달
113,11,7,단양
114,11,8,상주
115,11,9,김천
116,11,10,군위
117,11,11,의성
118,11,12,포항 남구
119,12,1,당진
120,12,2,홍성
121,12,3,예산
122,12,4,공주
123,12,5,진천
124,12,6,충주
125,12,7,청주 흥덕
126,12,8,괴산
127,12,9,칠곡
128,12,10,영천
129,12,11,경산
130,12,12,경주
131,13,1,서산
132,13,2,보령
133,13,3,청양
134,13,4,세종
135,13,5,대전 대덕
136,13,6,증평
137,13,7,청주 청원
138,13,8,보은
139,13,9,고령
140,13,10,청도
141,13,11,성주
142,13,12,울산 북구
143,14,2,부여
144,14,3,논산
145,14,4,계룡
146,14,5,대전 동구
147,14,6,청주 상당
148,14,7,청주 서원
149,14,8,대구 북구
150,14,9,대구 중구
151,14,10,대구 수성
152,14,11,울산 울주
153,14,12,울산 동구
154,15,2,서천
155,15,3,금산
156,15,4,대전 유성
157,15,5,대전 중구
158,15,6,옥천
159,15,7,영동
160,15,8,대구 서구
161,15,9,대구 남구
162,15,10,대구 동구
163,15,11,울산 중구
164,15,12,울산 남구
165,16,2,군산
166,16,3,익산
167,16,4,대전 서구
168,16,5,무주
169,16,6,거창
170,16,7,합천
171,16,8,대구 달서
172,16,9,대구 달성
173,16,10,부산 금정
174,16,11,부산 동래
175,16,12,부산 기장
176,17,2,부안
177,17,3,김제
178,17,4,완주
179,17,5,장수
180,17,6,함양
181,17,7,창녕
182,17,8,밀양
183,17,9,부산 북구
184,17,10,부산 부산진
185,17,11,부산 연제
186,17,12,부산 해운대
187,18,1,고창
188,18,2,정읍
189,18,3,전주 덕진
190,18,4,진안
191,18,5,남원
192,18,6,진주
193,18,7,의령
194,18,8,부산 강서
195,18,9,부산 사상
196,18,10,부산 동구
197,18,11,부산 중구
198,19,1,영광
199,19,2,장성
200,19,3,전주 완산
201,19,4,임실
202,19,5,산청
203,19,6,함안
204,19,7,양산
205,19,8,창원 합포
206,19,9,부산 서구
207,19,10,부산 사하
208,19,11,부산 남구
209,20,1,함평
210,20,2,담양
211,20,3,순창
212,20,4,구례
213,20,5,하동
214,20,6,창원 의창
215,20,7,창원 성산
216,20,8,창원 진해
217,20,9,김해
218,20,10,부산 영도
219,20,11,부산 수영
220,21,0,신안
221,21,1,무안
222,21,2,광주 광산
223,21,3,곡성
224,21,4,화순
225,21,5,광양
226,21,6,사천
227,21,7,창원 회원
228,21,8,통영
229,22,0,목포
230,22,1,나주
231,22,2,광주 서구
232,22,3,광주 북구
233,22,4,순천
234,22,5,고흥
235,22,6,남해
236,22,7,고성(경남)
237,22,8,거제
238,23,0,해남
239,23,1,영암
240,23,2,광주 남구
241,23,3,광주 동구
242,23,4,여수
243,24,0,진도
244,24,1,강진
245,24,2,장흥
246,24,3,보성
247,25,2,완도
248,25,5,제주
249,26,5,서귀포
