,광역시도,시군,pop,lee,yoon,shim,heo
0,서울특별시,종로구,100629.0,46130.0,49172.0,3115.0,558.0
1,서울특별시,중구,84998.0,38244.0,42906.0,2310.0,463.0
2,서울특별시,용산구,152068.0,60063.0,85047.0,4374.0,755.0
3,서울특별시,성동구,197240.0,84411.0,103880.0,5365.0,969.0
4,서울특별시,광진구,235471.0,109922.0,113733.0,7072.0,1416.0
5,서울특별시,동대문구,232106.0,108171.0,112890.0,6416.0,1304.0
6,서울특별시,중랑구,260862.0,130381.0,118201.0,6899.0,1961.0
7,서울특별시,성북구,292187.0,142702.0,135044.0,8952.0,1632.0
8,서울특별시,강북구,199448.0,103333.0,86540.0,5245.0,1518.0
9,서울특별시,도봉구,216036.0,106546.0,99780.0,5605.0,1457.0
10,서울특별시,노원구,349297.0,169275.0,163340.0,10021.0,1933.0
11,서울특별시,은평구,317971.0,161510.0,140666.0,9715.0,1934.0
12,서울특별시,서대문구,210460.0,100702.0,98924.0,6886.0,1070.0
13,서울특별시,마포구,256218.0,117916.0,124327.0,9308.0,1174.0
14,서울특별시,양천구,301379.0,138586.0,149780.0,7821.0,1646.0
15,서울특별시,강서구,390247.0,190000.0,181510.0,11100.0,2458.0
16,서울특별시,구로구,272920.0,133027.0,127129.0,7539.0,1713.0
17,서울특별시,금천구,157035.0,80208.0,69227.0,4278.0,1161.0
18,서울특별시,영등포구,263581.0,116443.0,134846.0,7627.0,1324.0
19,서울특별시,동작구,271510.0,122914.0,135733.0,7866.0,1380.0
20,서울특별시,관악구,340773.0,169284.0,151944.0,11245.0,2594.0
21,서울특별시,서초구,277878.0,88686.0,179472.0,5864.0,894.0
22,서울특별시,강남구,354778.0,106865.0,235897.0,7020.0,1383.0
23,서울특별시,송파구,453536.0,180490.0,255166.0,10652.0,2050.0
24,서울특별시,강동구,313203.0,139172.0,160593.0,8029.0,1793.0
25,부산광역시,중구,27408.0,9929.0,16153.0,600.0,349.0
26,부산광역시,서구,69786.0,25154.0,41470.0,1508.0,713.0
27,부산광역시,동구,59326.0,21558.0,35081.0,1190.0,665.0
28,부산광역시,영도구,71696.0,29565.0,39058.0,1368.0,712.0
29,부산광역시,부산진구,233474.0,89233.0,133285.0,5214.0,2423.0
30,부산광역시,동래구,179768.0,65261.0,106515.0,4035.0,1683.0
31,부산광역시,남구,173557.0,64361.0,101749.0,3652.0,1515.0
32,부산광역시,북구,189125.0,74650.0,105576.0,4262.0,2065.0
33,부산광역시,해운대구,259616.0,92631.0,156792.0,5068.0,2157.0
34,부산광역시,기장군,106148.0,42955.0,58497.0,2253.0,1212.0
35,부산광역시,사하구,196600.0,78332.0,108983.0,4277.0,2304.0
36,부산광역시,금정구,155206.0,54772.0,93283.0,3500.0,1397.0
37,부산광역시,강서구,84488.0,36016.0,44889.0,1834.0,944.0
38,부산광역시,연제구,139351.0,51471.0,81889.0,3087.0,1198.0
39,부산광역시,수영구,118017.0,41801.0,71160.0,2617.0,1017.0
40,부산광역시,사상구,136658.0,54207.0,75692.0,3076.0,1636.0
41,대구광역시,중구,51325.0,10913.0,38288.0,981.0,392.0
42,대구광역시,동구,232992.0,52170.0,171004.0,4522.0,2122.0
43,대구광역시,서구,113904.0,19516.0,89620.0,1818.0,1172.0
44,대구광역시,남구,97962.0,19765.0,73865.0,1784.0,977.0
45,대구광역시,북구,294832.0,66469.0,215861.0,6090.0,2591.0
46,대구광역시,수성구,285537.0,59379.0,216031.0,5168.0,1848.0
47,대구광역시,달서구,368662.0,77951.0,275155.0,7361.0,3102.0
48,대구광역시,달성군,166298.0,38882.0,120064.0,3407.0,1737.0
49,인천광역시,중구,90125.0,43942.0,41805.0,2296.0,944.0
50,인천광역시,동구,40918.0,19195.0,19661.0,1196.0,346.0
51,인천광역시,미추홀구,253347.0,119287.0,121122.0,6951.0,2732.0
52,인천광역시,연수구,250104.0,111446.0,127768.0,6812.0,1456.0
53,인천광역시,남동구,329653.0,162476.0,150877.0,9232.0,2928.0
54,인천광역시,부평구,316024.0,159280.0,141072.0,8977.0,2718.0
55,인천광역시,계양구,193864.0,100532.0,83638.0,5502.0,1722.0
56,인천광역시,서구,346084.0,174908.0,154553.0,9594.0,3123.0
57,인천광역시,강화군,48473.0,17036.0,29267.0,988.0,513.0
58,인천광역시,옹진군,14912.0,5218.0,8797.0,304.0,251.0
59,광주광역시,동구,73877.0,60669.0,11036.0,1063.0,389.0
60,광주광역시,서구,202633.0,170357.0,26262.0,2961.0,1127.0
61,광주광역시,남구,148854.0,124572.0,19927.0,2073.0,811.0
62,광주광역시,북구,295658.0,249976.0,36421.0,4550.0,1896.0
63,광주광역시,광산구,264470.0,224484.0,30865.0,4218.0,1915.0
64,대전광역시,동구,142804.0,65555.0,70069.0,3603.0,1606.0
65,대전광역시,중구,151200.0,66698.0,77459.0,3782.0,1412.0
66,대전광역시,서구,304873.0,139877.0,150031.0,8427.0,2718.0
67,대전광역시,유성구,231027.0,108701.0,111342.0,6492.0,1599.0
68,대전광역시,대덕구,115404.0,54119.0,55159.0,3141.0,1258.0
69,울산광역시,중구,143171.0,54075.0,81399.0,3852.0,1702.0
70,울산광역시,남구,209589.0,77783.0,121304.0,5251.0,2274.0
71,울산광역시,동구,98491.0,44506.0,47065.0,3427.0,1597.0
72,울산광역시,북구,138319.0,64692.0,64597.0,5072.0,1806.0
73,울산광역시,울주군,145891.0,56078.0,81956.0,3690.0,1855.0
74,세종특별자치시,세종특별자치시,231832.0,119349.0,101491.0,6780.0,1594.0
75,경기도,수원시장안구,183882.0,91842.0,83470.0,4755.0,1320.0
76,경기도,수원시권선구,235055.0,121028.0,103154.0,5754.0,1981.0
77,경기도,수원시팔달구,119627.0,58024.0,56051.0,3003.0,1046.0
78,경기도,수원시영통구,239154.0,114418.0,114252.0,6385.0,1216.0
79,경기도,성남시수정구,161006.0,86224.0,68806.0,3128.0,904.0
80,경기도,성남시중원구,142368.0,80857.0,56072.0,2799.0,861.0
81,경기도,성남시분당구,335434.0,140966.0,183094.0,7005.0,1007.0
82,경기도,의정부시,295029.0,154851.0,127348.0,6788.0,2338.0
83,경기도,안양시만안구,162812.0,82650.0,73147.0,3901.0,1111.0
84,경기도,안양시동안구,216629.0,105221.0,102552.0,5574.0,1015.0
85,경기도,부천시,532995.0,285227.0,224331.0,13249.0,3817.0
86,경기도,광명시,198669.0,103470.0,87112.0,4746.0,1118.0
87,경기도,평택시,338768.0,166032.0,156630.0,7988.0,3791.0
88,경기도,양주시,145562.0,75236.0,63800.0,3162.0,1475.0
89,경기도,동두천시,57532.0,28495.0,26434.0,1125.0,647.0
90,경기도,안산시상록구,222254.0,121488.0,90654.0,5103.0,2092.0
91,경기도,안산시단원구,192948.0,103595.0,80605.0,4563.0,1715.0
92,경기도,고양시덕양구,323033.0,167037.0,139914.0,10643.0,1932.0
93,경기도,고양시일산동구,197004.0,96990.0,91849.0,5032.0,1120.0
94,경기도,고양시일산서구,197311.0,99597.0,89677.0,4975.0,1019.0
95,경기도,과천시,54194.0,21072.0,30934.0,1314.0,228.0
96,경기도,의왕시,113105.0,54997.0,53556.0,2717.0,636.0
97,경기도,구리시,127688.0,63465.0,58865.0,3023.0,878.0
98,경기도,남양주시,460518.0,239179.0,203075.0,10089.0,3326.0
99,경기도,오산시,135108.0,72877.0,55793.0,3352.0,1427.0
100,경기도,화성시,542027.0,283324.0,236055.0,12955.0,4007.0
101,경기도,시흥시,317197.0,178462.0,125544.0,7082.0,2682.0
102,경기도,군포시,183089.0,94891.0,80277.0,4593.0,1185.0
103,경기도,하남시,208858.0,101106.0,100088.0,4624.0,1025.0
104,경기도,파주시,297278.0,157155.0,126763.0,7176.0,2566.0
105,경기도,여주시,72566.0,30695.0,38731.0,1458.0,731.0
106,경기도,이천시,137512.0,63562.0,67726.0,2995.0,1354.0
107,경기도,용인시처인구,162420.0,80188.0,75105.0,3618.0,1532.0
108,경기도,용인시수지구,250764.0,113161.0,128995.0,5334.0,831.0
109,경기도,용인시기흥구,289459.0,143279.0,135606.0,6267.0,1477.0
110,경기도,안성시,117380.0,56723.0,54799.0,2892.0,1238.0
111,경기도,김포시,302170.0,153206.0,136814.0,6905.0,2175.0
112,경기도,광주시,244873.0,130220.0,105675.0,4596.0,1891.0
113,경기도,포천시,95968.0,44320.0,47306.0,1903.0,1056.0
114,경기도,연천군,28904.0,12013.0,15325.0,604.0,402.0
115,경기도,양평군,83065.0,34324.0,45487.0,1662.0,633.0
116,경기도,가평군,42512.0,16684.0,23870.0,872.0,402.0
117,강원도,춘천시,186646.0,82376.0,94926.0,5294.0,1775.0
118,강원도,원주시,226239.0,100954.0,113560.0,6105.0,2595.0
119,강원도,강릉시,141724.0,54377.0,80482.0,3434.0,1511.0
120,강원도,동해시,57515.0,22896.0,31739.0,1359.0,757.0
121,강원도,삼척시,43642.0,16297.0,25308.0,897.0,457.0
122,강원도,태백시,27039.0,10846.0,15101.0,489.0,295.0
123,강원도,정선군,24898.0,10103.0,13643.0,494.0,297.0
124,강원도,속초시,52516.0,21713.0,28342.0,1230.0,627.0
125,강원도,고성군,19218.0,7433.0,10840.0,427.0,216.0
126,강원도,양양군,19716.0,7343.0,11495.0,434.0,222.0
127,강원도,인제군,21836.0,8937.0,11591.0,501.0,333.0
128,강원도,홍천군,46697.0,18418.0,25851.0,1049.0,593.0
129,강원도,횡성군,32625.0,12557.0,18546.0,676.0,405.0
130,강원도,영월군,26925.0,10758.0,14904.0,536.0,309.0
131,강원도,평창군,29353.0,11463.0,16571.0,564.0,366.0
132,강원도,화천군,16494.0,6445.0,9009.0,433.0,283.0
133,강원도,양구군,14529.0,5689.0,7878.0,387.0,260.0
134,강원도,철원군,27846.0,11039.0,15194.0,722.0,367.0
135,충청북도,청주시상당구,122198.0,55852.0,59685.0,3548.0,1267.0
136,충청북도,청주시서원구,124726.0,56323.0,61745.0,3499.0,1240.0
137,충청북도,청주시흥덕구,163683.0,76940.0,77952.0,4770.0,1745.0
138,충청북도,청주시청원구,117836.0,56679.0,54855.0,3331.0,1283.0
139,충청북도,충주시,135848.0,58801.0,70382.0,3270.0,1509.0
140,충청북도,제천시,87091.0,36442.0,46482.0,1922.0,1000.0
141,충청북도,단양군,20193.0,7271.0,11969.0,387.0,207.0
142,충청북도,영동군,31795.0,12029.0,18238.0,664.0,347.0
143,충청북도,보은군,22717.0,8757.0,12754.0,525.0,275.0
144,충청북도,옥천군,34242.0,14138.0,18241.0,864.0,400.0
145,충청북도,음성군,58316.0,26700.0,28700.0,1310.0,700.0
146,충청북도,진천군,51932.0,25402.0,23759.0,1361.0,672.0
147,충청북도,괴산군,27419.0,10304.0,15895.0,546.0,245.0
148,충청북도,증평군,22653.0,10215.0,11264.0,560.0,275.0
149,충청남도,천안시서북구,238154.0,115553.0,110141.0,6568.0,2673.0
150,충청남도,천안시동남구,157433.0,71851.0,77739.0,4085.0,1775.0
151,충청남도,공주시,68872.0,28472.0,37339.0,1423.0,695.0
152,충청남도,보령시,65715.0,26207.0,36419.0,1367.0,655.0
153,충청남도,아산시,192927.0,93262.0,89998.0,4976.0,2193.0
154,충청남도,서산시,108990.0,48642.0,54892.0,2640.0,1264.0
155,충청남도,태안군,42028.0,16678.0,23511.0,873.0,323.0
156,충청남도,금산군,33699.0,14002.0,18178.0,647.0,331.0
157,충청남도,논산시,73512.0,33822.0,36203.0,1601.0,788.0
158,충청남도,계룡시,27992.0,11891.0,14718.0,799.0,243.0
159,충청남도,당진시,100874.0,46903.0,49230.0,2258.0,1157.0
160,충청남도,부여군,43975.0,16813.0,25136.0,878.0,438.0
161,충청남도,서천군,35136.0,15443.0,18168.0,688.0,263.0
162,충청남도,홍성군,62416.0,25860.0,33581.0,1536.0,611.0
163,충청남도,청양군,21588.0,7688.0,12932.0,416.0,223.0
164,충청남도,예산군,51349.0,16904.0,32098.0,1034.0,537.0
165,전라북도,전주시완산구,231447.0,188693.0,35152.0,3907.0,1371.0
166,전라북도,전주시덕진구,215995.0,175845.0,32731.0,4006.0,1370.0
167,전라북도,군산시,177339.0,144395.0,27400.0,2613.0,1241.0
168,전라북도,익산시,189310.0,154719.0,28076.0,3074.0,1335.0
169,전라북도,정읍시,75092.0,63487.0,9085.0,1040.0,476.0
170,전라북도,남원시,56509.0,47470.0,7163.0,731.0,366.0
171,전라북도,김제시,58026.0,48952.0,7164.0,750.0,398.0
172,전라북도,완주군,63481.0,52862.0,8443.0,1063.0,412.0
173,전라북도,진안군,18855.0,15637.0,2572.0,264.0,93.0
174,전라북도,무주군,17429.0,13292.0,3426.0,313.0,135.0
175,전라북도,장수군,16230.0,13564.0,2063.0,222.0,114.0
176,전라북도,임실군,20057.0,16930.0,2416.0,253.0,123.0
177,전라북도,순창군,19879.0,16980.0,2211.0,230.0,106.0
178,전라북도,고창군,38707.0,33000.0,4335.0,518.0,208.0
179,전라북도,부안군,36856.0,31037.0,4572.0,467.0,227.0
180,전라남도,목포시,145187.0,125790.0,14936.0,2021.0,997.0
181,전라남도,여수시,189617.0,162006.0,21986.0,2266.0,1369.0
182,전라남도,순천시,192412.0,162566.0,23709.0,2780.0,1205.0
183,전라남도,나주시,81076.0,68994.0,9512.0,1019.0,492.0
184,전라남도,광양시,100876.0,81441.0,15843.0,1560.0,865.0
185,전라남도,담양군,34632.0,30076.0,3435.0,396.0,204.0
186,전라남도,장성군,31666.0,27132.0,3566.0,386.0,189.0
187,전라남도,곡성군,20717.0,17472.0,2380.0,305.0,132.0
188,전라남도,구례군,19132.0,16137.0,2352.0,232.0,114.0
189,전라남도,고흥군,47171.0,40466.0,5120.0,507.0,263.0
190,전라남도,보성군,29323.0,25214.0,3102.0,322.0,179.0
191,전라남도,화순군,45152.0,39327.0,4389.0,475.0,268.0
192,전라남도,장흥군,27048.0,23565.0,2555.0,301.0,159.0
193,전라남도,강진군,24960.0,21064.0,3010.0,298.0,141.0
194,전라남도,완도군,35300.0,31062.0,3085.0,347.0,200.0
195,전라남도,해남군,48441.0,42071.0,4690.0,510.0,288.0
196,전라남도,진도군,21744.0,18692.0,2313.0,219.0,141.0
197,전라남도,영암군,37333.0,31909.0,4092.0,521.0,269.0
198,전라남도,무안군,61552.0,52983.0,6624.0,808.0,363.0
199,전라남도,영광군,36321.0,30855.0,4056.0,475.0,221.0
200,전라남도,함평군,23295.0,20467.0,2052.0,259.0,118.0
201,전라남도,신안군,29213.0,25583.0,2742.0,272.0,145.0
202,경상북도,포항시북구,183046.0,45053.0,130458.0,3911.0,1539.0
203,경상북도,포항시남구,152184.0,38517.0,106712.0,3250.0,1690.0
204,경상북도,울릉군,6653.0,1590.0,4815.0,109.0,66.0
205,경상북도,경주시,173759.0,43031.0,123196.0,3380.0,1818.0
206,경상북도,김천시,95575.0,22122.0,69272.0,1838.0,990.0
207,경상북도,안동시,106950.0,30870.0,71881.0,1674.0,979.0
208,경상북도,구미시,253211.0,67054.0,173950.0,5537.0,3207.0
209,경상북도,영주시,70769.0,17937.0,50214.0,1153.0,571.0
210,경상북도,영천시,70942.0,14332.0,53537.0,1119.0,782.0
211,경상북도,상주시,68459.0,13660.0,51935.0,1097.0,617.0
212,경상북도,문경시,49720.0,9912.0,37738.0,808.0,413.0
213,경상북도,예천군,39128.0,9147.0,28320.0,653.0,286.0
214,경상북도,경산시,176406.0,40267.0,128158.0,3533.0,1859.0
215,경상북도,청도군,30953.0,5654.0,24036.0,489.0,266.0
216,경상북도,고령군,22270.0,3852.0,17464.0,317.0,216.0
217,경상북도,성주군,32009.0,5775.0,24975.0,472.0,278.0
218,경상북도,칠곡군,71492.0,17603.0,50468.0,1369.0,1049.0
219,경상북도,군위군,18239.0,2511.0,15032.0,216.0,155.0
220,경상북도,의성군,39245.0,6431.0,31176.0,545.0,365.0
221,경상북도,청송군,18789.0,3716.0,14268.0,298.0,155.0
222,경상북도,영양군,12337.0,2855.0,8968.0,208.0,68.0
223,경상북도,영덕군,25897.0,4342.0,20611.0,310.0,184.0
224,경상북도,봉화군,22707.0,5252.0,16451.0,361.0,209.0
225,경상북도,울진군,33544.0,6888.0,25287.0,476.0,266.0
226,경상남도,창원시의창구,143063.0,52289.0,82914.0,3805.0,1874.0
227,경상남도,창원시성산구,170073.0,67177.0,93082.0,5428.0,1920.0
228,경상남도,창원시마산합포구,120928.0,37657.0,77518.0,2618.0,1469.0
229,경상남도,창원시마산회원구,125233.0,41527.0,77282.0,2911.0,1657.0
230,경상남도,창원시진해구,119212.0,45890.0,66298.0,3075.0,1956.0
231,경상남도,진주시,228238.0,74975.0,141433.0,5578.0,2573.0
232,경상남도,통영시,80080.0,26387.0,49772.0,1573.0,1151.0
233,경상남도,고성군,34327.0,10348.0,22213.0,645.0,495.0
234,경상남도,사천시,71772.0,23424.0,44656.0,1581.0,926.0
235,경상남도,김해시,328521.0,150338.0,160401.0,8587.0,4534.0
236,경상남도,밀양시,70249.0,21906.0,44881.0,1457.0,848.0
237,경상남도,거제시,145481.0,64355.0,71772.0,4186.0,2810.0
238,경상남도,의령군,19089.0,5396.0,12625.0,349.0,190.0
239,경상남도,함안군,41791.0,13504.0,26066.0,921.0,614.0
240,경상남도,창녕군,41401.0,10934.0,28492.0,716.0,506.0
241,경상남도,양산시,220501.0,92137.0,116904.0,5364.0,3002.0
242,경상남도,하동군,32089.0,11218.0,18974.0,723.0,415.0
243,경상남도,남해군,30297.0,10143.0,18503.0,676.0,346.0
244,경상남도,함양군,26955.0,8526.0,16957.0,528.0,340.0
245,경상남도,산청군,24913.0,7125.0,16607.0,464.0,218.0
246,경상남도,거창군,41399.0,11963.0,27254.0,895.0,490.0
247,경상남도,합천군,31270.0,6911.0,22742.0,511.0,311.0
248,제주특별자치도,제주시,296826.0,157695.0,122084.0,10007.0,2496.0
249,제주특별자치도,서귀포시,112823.0,55435.0,50930.0,3591.0,1043.0
